model,split,rf_mape,xgboost_mape,linreg_mape
autoregressive_baseline,random_all,19.902519775618863,15.62356839844299,11.295106992957587
autoregressive_baseline,train_test_high,17.072948363705862,23.28426185727246,7.321388496694036
autoregressive_baseline,train_test_low,25.389621045971978,26.96627793647599,11.857012372596673
fb_naive,random_all,247.76828159381503,241.88411169007873,149.69018252087307
fb_naive,train_test_high,63.55194137904006,62.715466740206026,50.11232441486764
fb_naive,train_test_low,326.4219189298682,310.65325030292195,152.45693640182745
autoregressive_plus_fb,random_all,19.856130527228252,17.42490356564901,13.161568867556786
autoregressive_plus_fb,train_test_high,17.149870233723195,24.500120180889557,7.111320500386645
autoregressive_plus_fb,train_test_low,23.114613994649346,23.253807172235106,14.967180148682607
autoregressive_subgroups,random_all,23.846465305266143,27.73974519387906,32.15891453413623
autoregressive_subgroups_added,random_all,14.165426012476553,17.227270406019873,16.58203911356341
autoregressive_subgroups,train_test_high,18.539559125958277,18.480413488330004,27.886538804465278
autoregressive_subgroups_added,train_test_high,12.18722860412382,11.156360168513107,14.443438959372667
autoregressive_subgroups,train_test_low,26.874645013176416,30.73498970131531,33.89910067287034
autoregressive_subgroups_added,train_test_low,17.15208060556751,20.362355673776687,17.776392014775332
autoregressive_with_fb_normalized_subgroups,random_all,24.879801970798518,26.99255377583945,19.3782072894442
autoregressive_with_fb_normalized_subgroups_added,random_all,15.446345575611044,17.141868806862306,11.33602884937537
autoregressive_with_fb_normalized_subgroups,train_test_high,18.86047123763561,19.21923496713685,14.0626687414311
autoregressive_with_fb_normalized_subgroups_added,train_test_high,12.697104683800202,12.20653599694638,8.563149766718034
autoregressive_with_fb_normalized_subgroups,train_test_low,29.29580148541428,29.259120816026712,21.513636244279333
autoregressive_with_fb_normalized_subgroups_added,train_test_low,18.967798493878878,18.99965591197871,13.33927123755827
fb_normalized_subgroups,random_all,373.8946013391633,463.8044958629931,302.145464710242
fb_normalized_subgroups_added,random_all,296.29140120349655,367.8232530458417,261.98327882763056
fb_normalized_subgroups,train_test_high,114.29754197400163,99.53553170297103,99.08166735803097
fb_normalized_subgroups_added,train_test_high,92.88505536456493,76.5382641844994,87.14158211971092
fb_normalized_subgroups,train_test_low,329.596424088067,436.28404085725214,249.95454662188004
fb_normalized_subgroups_added,train_test_low,265.06120172970225,352.89628084362266,217.03058668140656
