country_code,country_name,data_used,un_development_lvl,total_pop,migrant_pop_2015,migrant_pop_2017,migrant_pop_2019,fb_expats,fb_users,fb_penetration
4,Afghanistan,B,Less Developed Regions,22647495,307483,86101,96536,210000,4000000,0.17661997496853404
8,Albania,B,More Developed Regions,2381787,49732,30617,28036,60000,1500000,0.6297792371861968
12,Algeria,B R,Less Developed Regions,30352151,203309,206443,222067,1600000,23000000,0.757771665013132
24,Angola,B R,Less Developed Regions,17617839,89623,346827,554464,280000,2600000,0.14757769099831142
31,Azerbaijan,B R,Less Developed Regions,7754916,242976,235917,230771,150000,4000000,0.5158018474990573
32,Argentina,B,Less Developed Regions,34152047,1953962,2033386,2009155,1700000,34000000,0.9955479388980696
36,Australia,B,More Developed Regions,20580333,6356256,6624087,7143715,3100000,17000000,0.8260313377825325
40,Austria,B,More Developed Regions,7708380,1408540,1588827,1667846,700000,4400000,0.5708073551122285
48,Bahrain,C,Less Developed Regions,1390494,625871,632292,696744,670000,1400000,1.0068364192869586
50,Bangladesh,B R,Less Developed Regions,120627495,1205473,1287597,1620032,950000,39000000,0.3233093748651582
51,Armenia,B R,Less Developed Regions,2345922,178295,178385,181057,70000,1600000,0.6820346115514497
56,Belgium,B,More Developed Regions,9615444,1152790,1067318,1833683,850000,7500000,0.7799951827497513
68,Bolivia,B,Less Developed Regions,8147430,93762,106909,105708,390000,7100000,0.871440441955316
70,Bosnia & Herzegovina,I R,More Developed Regions,2804363,32196,31827,31473,110000,1700000,0.6061982703380411
72,Botswana,B,Less Developed Regions,1566092,133517,134323,97980,120000,1000000,0.6385320913458469
76,Brazil,B,Less Developed Regions,168540057,641992,655097,717045,1500000,140000000,0.8306630630841664
100,Bulgaria,B,More Developed Regions,5928450,88186,108833,117991,110000,3900000,0.6578447992308276
104,Myanmar (Burma),C,Less Developed Regions,40543133,60741,63175,65248,840000,26000000,0.6412923243993008
112,Belarus,B,More Developed Regions,7820225,1043560,1055684,1034361,180000,3500000,0.4475574551883098
116,Cambodia,B,Less Developed Regions,11548640,43367,71531,73473,350000,10000000,0.865902824921376
120,Cameroon,B,Less Developed Regions,15379629,199813,390736,363016,250000,3900000,0.25358218979144426
124,Canada,B,More Developed Regions,31788235,7335034,7337927,7493331,4000000,25000000,0.7864544854409187
144,Sri Lanka,B R,Less Developed Regions,16341554,26379,28235,28235,150000,7100000,0.434475203521036
152,Chile,B,Less Developed Regions,15438493,383182,399490,846096,1400000,15000000,0.9715974221059012
156,China,C,Less Developed Regions,1184393403,803390,821043,859699,600000,3400000,0.0028706677961798815
170,Colombia,B,Less Developed Regions,39595244,93152,104800,888261,2200000,36000000,0.9092001049418965
180,Congo - Kinshasa,B R,Less Developed Regions,48546588,402480,676195,832759,200000,3500000,0.07209569496418575
188,Costa Rica,B R,Less Developed Regions,4033110,376699,386629,398135,370000,3600000,0.8926114090614935
191,Croatia,B R,More Developed Regions,3508298,562773,541881,508721,140000,2100000,0.5985808503154522
196,Cyprus,B,Less Developed Regions,1007213,182215,174891,178481,210000,1000000,0.9928386547830499
203,Czechia,C,More Developed Regions,9021723,390109,417158,490981,310000,5700000,0.6318083585585591
204,Benin,C B R,Less Developed Regions,7038177,181391,195798,321316,220000,1400000,0.1989151452144497
208,Denmark,B,More Developed Regions,4849129,532373,607496,667087,310000,4000000,0.8248904081537117
214,Dominican Republic,B,Less Developed Regions,7871311,359189,368615,519724,560000,6400000,0.8130792951771312
218,Ecuador,B R,Less Developed Regions,12810285,266282,284979,285265,780000,13000000,1.0148095846423402
222,El Salvador,B R,Less Developed Regions,4761482,35289,36696,37269,240000,3900000,0.8190727172758397
231,Ethiopia,B R,Less Developed Regions,69072836,651301,763162,756635,430000,6900000,0.09989455189012364
246,Finland,B,More Developed Regions,4661677,285820,311549,347246,160000,3200000,0.6864482459852967
250,France,B,More Developed Regions,53750350,7341419,7455645,7847988,3700000,45000000,0.8372038507656229
268,Georgia,B,Less Developed Regions,3182550,152015,65177,67536,120000,2900000,0.9112189910606275
275,Palestinian Territories,B,Less Developed Regions,3144455,222248,231503,231503,420000,2700000,0.8586543614076207
276,Germany,B,More Developed Regions,72091396,11567880,11677425,12499078,3700000,45000000,0.6242076377602676
288,Ghana,B,Less Developed Regions,19535203,276090,308912,389821,520000,6900000,0.35320851285753213
300,Greece,B,More Developed Regions,8999692,1191500,1165929,1171824,550000,6300000,0.7000239563753959
320,Guatemala,B R,Less Developed Regions,11942079,63793,68168,70567,340000,7900000,0.6615263556705663
324,Guinea,C B R,Less Developed Regions,7479262,163304,91301,95294,110000,1600000,0.21392484980469997
332,Haiti,B,Less Developed Regions,7699685,32477,32507,14036,87000,2100000,0.2727384302085085
340,Honduras,B R,Less Developed Regions,6874968,23115,32907,27920,160000,4100000,0.5963664121782094
344,Hong Kong SAR China,B,Less Developed Regions,6546937,2770251,2775270,2838284,940000,5700000,0.8706361463383564
348,Hungary,B R,More Developed Regions,8268423,413574,456702,462171,190000,6200000,0.7498406890890802
356,India,B R,Less Developed Regions,1018986799,5077689,4980365,4912683,4600000,350000000,0.34347844382623843
360,Indonesia,B R,Less Developed Regions,202582516,271504,268625,317106,3100000,150000000,0.7404390218946634
368,Iraq,C R,Less Developed Regions,25053092,239597,334133,279288,1100000,22000000,0.8781351220041024
372,Ireland,B,More Developed Regions,3909142,657415,712024,727912,400000,3300000,0.8441750133405234
376,Israel,B R,Less Developed Regions,6246836,1961695,1855169,1897633,840000,5900000,0.9444781326098524
380,Italy,B,More Developed Regions,52609476,5451656,5587596,5978368,3000000,36000000,0.6842873705870023
384,Côte d’Ivoire,C B,Less Developed Regions,15429056,1903472,1950131,2333974,610000,5400000,0.3499890077526454
388,Jamaica,B,Less Developed Regions,2269490,15557,17840,17726,87000,1400000,0.6168786819946331
392,Japan,C,More Developed Regions,110731963,1862528,2115498,2298513,1300000,45000000,0.4063867268387539
398,Kazakhstan,B,Less Developed Regions,13304390,3331861,3335200,3447619,220000,10000000,0.7516316043050452
400,Jordan,C R,Less Developed Regions,6851018,1835546,1934467,2003642,990000,5700000,0.8319931432087903
404,Kenya,B R,Less Developed Regions,33021167,682714,720171,792250,580000,9800000,0.2967793355092508
410,South Korea,C,Less Developed Regions,44838588,1283997,1103412,1114745,1000000,21000000,0.46834659467867273
414,Kuwait,C R,Less Developed Regions,3354007,2464370,2625694,2548446,2200000,4200000,1.252233522470287
417,Kyrgyzstan,B,Less Developed Regions,4394115,189618,188642,191704,76000,2600000,0.591700490314887
418,Laos,C R,Less Developed Regions,4951215,19515,40144,43752,220000,3000000,0.6059118822349666
422,Lebanon,B R,Less Developed Regions,5114389,1223436,1242460,1334080,860000,3800000,0.7430017544617744
428,Latvia,B,More Developed Regions,1576261,258417,250174,230373,26000,1100000,0.6978539721530889
434,Libya,C,Less Developed Regions,4962117,629823,635277,686479,760000,5400000,1.0882451985714967
440,Lithuania,B,More Developed Regions,2300936,131255,112151,106091,35000,1800000,0.7822903374974358
450,Madagascar,C,Less Developed Regions,16597292,27436,28803,29794,62000,2500000,0.15062698179919953
458,Malaysia,C R,Less Developed Regions,24776783,2374658,2504995,3110561,1700000,26000000,1.0493694843273238
466,Mali,B R,Less Developed Regions,10731463,258031,304298,403965,230000,1900000,0.17704948523794006
484,Mexico,B R,Less Developed Regions,95622630,516915,554146,500213,3400000,92000000,0.9621153486366145
496,Mongolia,C,Less Developed Regions,2258976,16160,16635,18231,65000,2300000,1.0181604408369103
498,Moldova,B,More Developed Regions,3393035,124041,118914,91666,56000,1500000,0.44208208874945293
504,Morocco,C,Less Developed Regions,27030340,74497,79109,82324,1100000,19000000,0.7029138368218824
508,Mozambique,B R,Less Developed Regions,17483417,152483,184184,266598,160000,2300000,0.13155323127052337
512,Oman,C,Less Developed Regions,3958298,1721267,1979921,2096129,1200000,2900000,0.7326381187065754
524,Nepal,B R,Less Developed Regions,20742576,462322,465273,467064,560000,11000000,0.530310217978712
528,Netherlands,B,More Developed Regions,14444410,1874047,1939897,2160027,910000,11000000,0.7615402775191233
554,New Zealand,B,More Developed Regions,3885242,948062,987016,999583,680000,3500000,0.9008447865023594
558,Nicaragua,B R,Less Developed Regions,4670268,28800,30156,34222,140000,3100000,0.6637734708158076
566,Nigeria,C R,Less Developed Regions,116494403,861691,698432,954262,1600000,29000000,0.248938998382609
578,Norway,B,More Developed Regions,4485693,670927,722772,795717,370000,3700000,0.8248446784030918
586,Pakistan,B R,Less Developed Regions,143978581,2973626,3267563,3137598,1500000,41000000,0.2847645789758131
591,Panama,B,Less Developed Regions,3171578,167846,174940,174179,290000,2600000,0.8197811940932873
600,Paraguay,B,Less Developed Regions,5071693,135387,140455,140455,200000,3900000,0.7689739895533898
604,Peru,B,Less Developed Regions,24830391,69028,73969,681613,1200000,24000000,0.9665574738633798
608,Philippines,C R,Less Developed Regions,76659990,155264,167247,167247,2800000,77000000,1.0044352993001955
616,Poland,B,More Developed Regions,32087220,557359,563931,574198,410000,19000000,0.592136059153769
620,Portugal,B,More Developed Regions,8865632,798557,840933,853433,590000,7200000,0.8121248434403774
630,Puerto Rico,B,Less Developed Regions,2410193,259453,258377,252053,160000,2100000,0.8712995183373282
634,Qatar,C,Less Developed Regions,2488106,1486748,1510436,1956490,1900000,2900000,1.1655451978332112
642,Romania,B,More Developed Regions,16251874,152449,222104,271282,200000,11000000,0.6768450210726468
643,Russia,B,More Developed Regions,119137591,11183062,11197508,11186937,3000000,57000000,0.47843841327965075
682,Saudi Arabia,C R,Less Developed Regions,26216152,8354171,9993962,11127366,3600000,26000000,0.9917550066081399
686,Senegal,B R,Less Developed Regions,9612430,208978,217467,218038,320000,3400000,0.3537086876055274
688,Serbia,B,More Developed Regions,7394687,790853,786413,804446,380000,3800000,0.5138824672362738
702,Singapore,B,Less Developed Regions,5130681,2342051,2409221,1980015,1600000,4600000,0.8965671418667425
703,Slovakia,B,More Developed Regions,4610475,160474,163249,164198,93000,2900000,0.6290024346732169
704,Vietnam,C R,Less Developed Regions,74761837,63857,66940,66940,700000,63000000,0.8426759230113621
705,Slovenia,B,More Developed Regions,1764255,225851,233454,242421,100000,1100000,0.6234926357017552
706,Somalia,I R,Less Developed Regions,8558512,17265,31345,36505,240000,1900000,0.2220012076865698
710,South Africa,B R,Less Developed Regions,42227122,2832021,3509316,3678081,2100000,22000000,0.520992171808441
716,Zimbabwe,B R,Less Developed Regions,8633707,360097,363481,370299,54000,1300000,0.15057263351651845
724,Spain,B,More Developed Regions,40022342,5387037,5615566,5798308,3100000,34000000,0.8495254975333527
752,Sweden,B,More Developed Regions,8319418,1518739,1610937,1845529,780000,7300000,0.8774652265338754
756,Switzerland,B,More Developed Regions,7360004,2308103,2376539,2439153,1000000,4600000,0.6249996603262715
764,Thailand,B R,Less Developed Regions,58246341,3555403,3191752,3233675,2900000,51000000,0.8755914813601767
784,United Arab Emirates,C R,Less Developed Regions,8425228,7133070,7272369,7435822,6400000,10000000,1.186911499605708
788,Tunisia,C,Less Developed Regions,8947793,48312,49556,49427,420000,7400000,0.8270195790179768
792,Turkey,B R,Less Developed Regions,64146559,2324996,3781896,4904450,3000000,55000000,0.857411540968238
800,Uganda,B R,Less Developed Regions,24692872,508880,1310995,891361,260000,3100000,0.12554230224819535
804,Ukraine,B,More Developed Regions,36740505,4652536,4806237,4806237,590000,20000000,0.5443583314927217
807,North Macedonia,B,More Developed Regions,1743577,115610,114710,114890,69000,1100000,0.6308869639826632
818,Egypt,B R,Less Developed Regions,67621524,313760,418088,448892,1400000,43000000,0.6358922049730793
826,United Kingdom,B,More Developed Regions,55885608,7923696,8298090,8993102,4100000,47000000,0.841003644444559
834,Tanzania,B R,Less Developed Regions,33717317,192211,405773,422929,200000,4600000,0.13642841154887858
840,United States,B,More Developed Regions,270191676,43757877,47877947,48292482,26000000,230000000,0.8512475417636478
854,Burkina Faso,B R,Less Developed Regions,11628432,383989,590761,606091,150000,1800000,0.154793010785977
858,Uruguay,B,Less Developed Regions,2767343,59525,66204,67785,140000,2700000,0.9756651054820454
860,Uzbekistan,B,Less Developed Regions,23830053,1099100,1090854,1099502,110000,3900000,0.16365888905072934
862,Venezuela,B,Less Developed Regions,20683548,1259186,1265155,1220726,500000,13000000,0.6285188595302895
887,Yemen,CR,Less Developed Regions,18243879,262689,282633,283534,220000,2900000,0.15895742347337427
894,Zambia,B R,Less Developed Regions,10291816,111445,135084,148296,130000,2300000,0.22347853867577888
